characters,house
Harry Potter,Gryffindor
Ronald Weasley,Gryffindor
Hermione Granger,Gryffindor
Rubeus Hagrid,Gryffindor
Severus Snape,Slytherin
Quirinus Quirrell,Ravenclaw
Albus Dumbledore,Gryffindor
Minerva McGonagall,Gryffindor
Voldemort,Slytherin
Dedalus Diggle,Hufflepuff
Poppy Pomfrey,Hufflepuff
Gringotts Head Goblin,None
Draco Malfoy,Slytherin
Hedwig,None
Percy Weasley,Gryffindor
Fred Weasley,Gryffindor
George Weasley,Gryffindor
Neville Longbottom,Gryffindor
Charles Weasley,Gryffindor
Nicolas Flamel,None
Vincent Crabbe,Slytherin
Gregory Goyle,Slytherin
Peeves,None
Seamus Finnigan,Gryffindor
Dean Thomas,Gryffindor
Vernon Dursley,None
Petunia Dursley,None
Dudley Dursley,None
Piers Polkiss,None
Argus Filch,None
Rolanda Hooch,Ravenclaw
Mrs Norris,None
Filius Flitwick,Ravenclaw
Fang,None
Oliver Wood,Gryffindor
Fluffy,None
Marcus Flint,Slytherin
Ronan,None
Bane,None
Firenze,None
